VertWeld 1 	1 [sec] 	-44.511720140792633 [N] 	0 [N] 	-58.551727934497059 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
Deck stopper inner 3 	3 [sec] 	-35685.078224585923 [N] 	84203.553349299182 [N] 	-7.2761653768793622E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2197.40414619446 [mm] 	5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 3 	4 [sec] 	-43085.205025225921 [N] 	101580.22637846152 [N] 	-0.00023699551820755005 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2197.40414619446 [mm] 	5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 4 	1 [sec] 	-5306.1287563133674 [N] 	3172.7728029666569 [N] 	-2.1929879494564375E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4820.56021690369 [mm] 	2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 4 	2 [sec] 	-100081.75833558154 [N] 	60015.695725701167 [N] 	-0.0019966920372098684 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4820.56021690369 [mm] 	2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 4 	3 [sec] 	-93832.325439369131 [N] 	56265.347550600622 [N] 	-4.7013037374199484E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4820.56021690369 [mm] 	2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 4 	4 [sec] 	-128015.51794289605 [N] 	76792.820786673445 [N] 	0.00054405136324930936 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4820.56021690369 [mm] 	2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 5 	1 [sec] 	4109.7496715821435 [N] 	381.42983486473611 [N] 	-4.787700476072132E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5602.42629051208 [mm] 	-490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 5 	2 [sec] 	-43522.582395422767 [N] 	-3691.5804433853646 [N] 	-0.001351975166471675 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5602.42629051208 [mm] 	-490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 5 	3 [sec] 	-23192.828844385596 [N] 	-1923.9944017480584 [N] 	-8.8396569481119514E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5602.42629051208 [mm] 	-490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 5 	4 [sec] 	-106600.26322152198 [N] 	-9209.8977144353212 [N] 	0.0020285651553422213 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5602.42629051208 [mm] 	-490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 6 	1 [sec] 	-1444.9878013596333 [N] 	-1248.2460721680607 [N] 	2.3622303615411511E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4244.35567855835 [mm] 	-3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 6 	2 [sec] 	-83551.505416992353 [N] 	-72450.521977054566 [N] 	-0.00056891594431363046 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4244.35567855835 [mm] 	-3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 6 	3 [sec] 	-73329.056020863209 [N] 	-63595.64915963012 [N] 	-0.00033236674062209204 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4244.35567855835 [mm] 	-3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 6 	4 [sec] 	-113739.94142699809 [N] 	-98700.908915359527 [N] 	0.00081966568905045278 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4244.35567855835 [mm] 	-3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 7 	1 [sec] 	-1680.9002461503833 [N] 	-7265.5343160773955 [N] 	-7.2336439188802615E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1265.08569717407 [mm] 	-5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 7 	2 [sec] 	-29071.705322356116 [N] 	-125480.10568704762 [N] 	0.00029494416958186775 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1265.08569717407 [mm] 	-5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 7 	3 [sec] 	-28383.272786861075 [N] 	-122561.90924170733 [N] 	-1.3640342331200372E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1265.08569717407 [mm] 	-5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 7 	4 [sec] 	-27593.661328674694 [N] 	-118937.50780230887 [N] 	-0.014509663451462984 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1265.08569717407 [mm] 	-5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 8 	1 [sec] 	-670.22893832758712 [N] 	1456.7421281742827 [N] 	6.3507868617307395E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2197.40414619446 [mm] 	-5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 8 	2 [sec] 	-7901.41840615624 [N] 	18338.566581276194 [N] 	-1.17427414352278E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2197.40414619446 [mm] 	-5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 8 	3 [sec] 	-8292.215586217113 [N] 	19237.531862611595 [N] 	-7.9401173991300311E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2197.40414619446 [mm] 	-5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 8 	4 [sec] 	-7124.7125272024805 [N] 	16593.0838721414 [N] 	-0.00013841951658832841 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2197.40414619446 [mm] 	-5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 9 	1 [sec] 	164.92918599819495 [N] 	-52.341970002840071 [N] 	2.3610218136127514E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4820.56021690369 [mm] 	-2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 9 	2 [sec] 	-81985.517559098967 [N] 	49217.780641043442 [N] 	4.061645384467738E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4820.56021690369 [mm] 	-2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 9 	3 [sec] 	-85075.322335698016 [N] 	51074.915439010962 [N] 	5.9661329032678623E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4820.56021690369 [mm] 	-2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 9 	4 [sec] 	-74064.6237468347 [N] 	44443.330912766163 [N] 	-5.6284547099494375E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4820.56021690369 [mm] 	-2896.48485183716 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 10 	1 [sec] 	6503.5612438407661 [N] 	574.96355247068834 [N] 	-7.3129545853589661E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5602.42629051208 [mm] 	490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 10 	2 [sec] 	-45583.382400994145 [N] 	-3885.8806668504117 [N] 	-0.00015017002078820951 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5602.42629051208 [mm] 	490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 10 	3 [sec] 	-47978.814556948972 [N] 	-4096.25783160421 [N] 	-7.0194317913774285E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5602.42629051208 [mm] 	490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 10 	4 [sec] 	-47059.584977396429 [N] 	-4020.9875885231304 [N] 	-4.4218450057087466E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5602.42629051208 [mm] 	490.148767828941 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 1 	1 [sec] 	5471.1321114977345 [N] 	4767.0924640143639 [N] 	-0.0001833169226301834 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4842.0672416687 [mm] 	4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 1 	2 [sec] 	-65903.8461596228 [N] 	-57299.298387604023 [N] 	-2.357868879698799E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4842.0672416687 [mm] 	4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 1 	3 [sec] 	-67415.964392907481 [N] 	-58616.642299145926 [N] 	-3.4328390938753728E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4842.0672416687 [mm] 	4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 1 	4 [sec] 	-73605.057488478837 [N] 	-63988.631266993536 [N] 	-1.7666112171355053E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4842.0672416687 [mm] 	4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 2 	1 [sec] 	-1504.3583548558463 [N] 	-6342.1636852883657 [N] 	5.77284458813665E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1443.24147701263 [mm] 	6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 2 	2 [sec] 	1052.0706022826971 [N] 	5803.3875116503787 [N] 	1.0923289892161847E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1443.24147701263 [mm] 	6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 2 	3 [sec] 	356.31890665192532 [N] 	2758.7761546072925 [N] 	-5.3367760344258386E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1443.24147701263 [mm] 	6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 2 	4 [sec] 	2256.2425678153363 [N] 	11092.812362923765 [N] 	6.3781966673559509E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1443.24147701263 [mm] 	6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 3 	1 [sec] 	-2024.5487401343562 [N] 	4810.51941293163 [N] 	1.1596768700883331E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2506.85358047485 [mm] 	5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 3 	2 [sec] 	-58501.984367978788 [N] 	137981.35073377271 [N] 	-4.1185459849657491E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2506.85358047485 [mm] 	5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 3 	3 [sec] 	-56357.697229453952 [N] 	132925.05754782321 [N] 	-7.6951732808083761E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2506.85358047485 [mm] 	5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 3 	4 [sec] 	-63523.314147412915 [N] 	149747.27687596082 [N] 	-5.4143063607625663E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2506.85358047485 [mm] 	5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 4 	1 [sec] 	-4926.7485119813209 [N] 	2942.9085790616568 [N] 	-2.0225658659001056E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5499.41563606262 [mm] 	3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 4 	2 [sec] 	-113988.59410270394 [N] 	68358.308898701245 [N] 	0.0012046729098074138 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5499.41563606262 [mm] 	3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 4 	3 [sec] 	-105326.43199837458 [N] 	63158.078788989355 [N] 	-8.830625574773876E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5499.41563606262 [mm] 	3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 4 	4 [sec] 	-155454.41749346926 [N] 	93271.222323776339 [N] 	0.00022672551131108776 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5499.41563606262 [mm] 	3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 5 	1 [sec] 	8446.6912085897256 [N] 	763.13881961531854 [N] 	-5.6735329145851665E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6391.3881778717 [mm] 	-559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 5 	2 [sec] 	-50985.514387201671 [N] 	-4308.2089232141625 [N] 	-0.00020018778741359711 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6391.3881778717 [mm] 	-559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 5 	3 [sec] 	-32399.2573236775 [N] 	-2702.0211942040551 [N] 	0.00010003604620578699 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6391.3881778717 [mm] 	-559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 5 	4 [sec] 	-112745.04638875071 [N] 	-9692.2413899860385 [N] 	0.0027001171838492155 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6391.3881778717 [mm] 	-559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 6 	1 [sec] 	-6088.0209745319016 [N] 	-5273.7411751649433 [N] 	-0.00031530050182482228 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4842.0672416687 [mm] 	-4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 6 	2 [sec] 	-125666.34940717761 [N] 	-108961.67651088818 [N] 	0.00056467146350769326 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4842.0672416687 [mm] 	-4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 6 	3 [sec] 	-117508.24875887738 [N] 	-101905.83943061999 [N] 	0.00092764605506090447 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4842.0672416687 [mm] 	-4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 6 	4 [sec] 	-154160.09137553017 [N] 	-133730.59207016532 [N] 	0.0041267069755122066 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4842.0672416687 [mm] 	-4209.14483070374 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 7 	1 [sec] 	-1271.9884673992638 [N] 	-5494.2180604825026 [N] 	1.3140748365003674E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1443.24147701263 [mm] 	-6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 7 	2 [sec] 	-39807.000271130441 [N] 	-171918.92807486438 [N] 	-0.00019452235210337676 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1443.24147701263 [mm] 	-6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 7 	3 [sec] 	-39400.4208496609 [N] 	-170227.80186677986 [N] 	2.4798376216494944E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1443.24147701263 [mm] 	-6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 7 	4 [sec] 	-37733.909434769143 [N] 	-162782.29588734364 [N] 	0.0019738136325031519 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-1443.24147701263 [mm] 	-6251.36566162109 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 8 	1 [sec] 	-1242.2402098956049 [N] 	2788.4042477777302 [N] 	4.9436392828283715E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2506.85358047485 [mm] 	-5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 8 	2 [sec] 	-21455.797217036146 [N] 	50219.009967150276 [N] 	9.69506709225243E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2506.85358047485 [mm] 	-5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 8 	3 [sec] 	-21817.856477278692 [N] 	51047.389881093521 [N] 	1.7327670320810284E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2506.85358047485 [mm] 	-5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 8 	4 [sec] 	-19510.585961550874 [N] 	45729.5880176005 [N] 	-0.00080306947347708046 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2506.85358047485 [mm] 	-5905.77697753906 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 9 	1 [sec] 	-1122.941352488943 [N] 	728.6688640309078 [N] 	2.9495598141693335E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5499.41563606262 [mm] 	-3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 9 	2 [sec] 	-152007.93656328757 [N] 	91300.458253377874 [N] 	1.6928629520407412E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5499.41563606262 [mm] 	-3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 9 	3 [sec] 	-156141.65947971662 [N] 	93785.3104783613 [N] 	8.4302802179081482E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5499.41563606262 [mm] 	-3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 9 	4 [sec] 	-142190.08097976341 [N] 	85384.648479002717 [N] 	0.00017438087525079027 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5499.41563606262 [mm] 	-3304.38244342804 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 10 	1 [sec] 	4379.77645730296 [N] 	389.63871436516922 [N] 	-4.4881020585307851E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6391.3881778717 [mm] 	559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 10 	2 [sec] 	-73286.495491975031 [N] 	-6301.10476472978 [N] 	-4.42711507275817E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6391.3881778717 [mm] 	559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 10 	3 [sec] 	-72454.9414308217 [N] 	-6229.186368938641 [N] 	-3.3965699230975588E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6391.3881778717 [mm] 	559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper outer 10 	4 [sec] 	-81963.853102610825 [N] 	-7066.8980732484251 [N] 	-2.576108727225801E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6391.3881778717 [mm] 	559.174001216888 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
